"Respondent","WorkToolsSelect","LanguageRecommendationSelect","EmployerIndustry","WorkAlgorithmsSelect"
1,"Amazon Web services,Oracle Data Mining/ Oracle R Enterprise,Perl","F#","Internet-based","Neural Networks,Random Forests,RNNs"
2,"Amazon Machine Learning,Amazon Web services,Cloudera,Hadoop/Hive/Pig,Impala,Java,Mathematica,MATLAB/Octave,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,NoSQL,Python,R,SAS Base,SAS JMP,SQL,Tableau","Python","Mix of fields","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression"
3,"C/C++,Jupyter notebooks,MATLAB/Octave,Python,R,TensorFlow","Python","Technology","Bayesian Techniques,CNNs,Ensemble Methods,Neural Networks,Regression/Logistic Regression,SVMs"
4,"Jupyter notebooks,Python,SQL,TensorFlow","Python","Academic","Bayesian Techniques,CNNs,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression"
5,"C/C++,Cloudera,Hadoop/Hive/Pig,Java,NoSQL,R,Unix shell / awk","R","Government",""
6,"SQL","Python","Non-profit",""
7,"Jupyter notebooks,NoSQL,Python,R,SQL,Unix shell / awk","Python","Internet-based","CNNs,Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression,SVMs"
8,"Python,Spark / MLlib,Tableau,TensorFlow,Other","Python","Mix of fields","Bayesian Techniques,CNNs,HMMs,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
9,"Jupyter notebooks,MATLAB/Octave,Python,SAS Base,SQL","Python","Financial","Ensemble Methods,Gradient Boosted Machines"
10,"C/C++,IBM Cognos,MATLAB/Octave,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Perl,Python,R,SQL,Unix shell / awk","R","Technology","Bayesian Techniques,Regression/Logistic Regression"
11,"C/C++,Jupyter notebooks,Python,TensorFlow","Python","Academic","CNNs,Neural Networks"
12,"MATLAB/Octave,Python","Matlab","Telecommunications","CNNs,Decision Trees,RNNs"
13,"C/C++,Java,Jupyter notebooks,MATLAB/Octave,Python,R","Python","Academic","Neural Networks,Regression/Logistic Regression,SVMs"
14,"Amazon Web services,Java,Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,SAS Enterprise Miner,Spark / MLlib","Matlab","Other","SVMs"
15,"Hadoop/Hive/Pig,Java,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL","Python","Mix of fields","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
16,"IBM Cognos,NoSQL,Unix shell / awk","R","Pharmaceutical","Evolutionary Approaches"
17,"Cloudera,Flume,Hadoop/Hive/Pig,Impala,Java,Jupyter notebooks,KNIME (free version),NoSQL,Python,R,SAS Enterprise Miner,Spark / MLlib,SQL","Python","Financial","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests"
18,"C/C++,Cloudera,Hadoop/Hive/Pig,Impala,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,Unix shell / awk,Other","Python","Internet-based","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,Other"
19,"Python,R,SQL","Python","Technology","Bayesian Techniques,Decision Trees,Neural Networks,Regression/Logistic Regression"
20,"NoSQL,Perl,Python,Other","Python","Pharmaceutical","HMMs"
21,"MATLAB/Octave,Python,R,Unix shell / awk,Other","Python","Financial","Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression,SVMs"
22,"C/C++,Jupyter notebooks,Python,TensorFlow,Unix shell / awk","Python","Military/Security","Decision Trees,RNNs,SVMs"
23,"MATLAB/Octave,Python,R,SAS JMP,SQL,TIBCO Spotfire","Python","Technology","Regression/Logistic Regression"
24,"C/C++,Jupyter notebooks,MATLAB/Octave,Python,TensorFlow","Python","Technology","CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,SVMs"
25,"","Python","Financial",""
26,"Python","","Technology",""
27,"Amazon Web services,Hadoop/Hive/Pig,Julia,Jupyter notebooks,R,SAS Base,SAS Enterprise Miner,SQL,Unix shell / awk","Python","CRM/Marketing","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
28,"Amazon Web services,Python,R,SAP BusinessObjects Predictive Analytics,Unix shell / awk","Python","Technology","Bayesian Techniques,Ensemble Methods,Gradient Boosted Machines,RNNs"
29,"Jupyter notebooks,Python,R,SQL","R","Financial","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,SVMs"
30,"Julia,Jupyter notebooks,Python,R,SQL,TensorFlow","Python","Technology","Regression/Logistic Regression"
31,"C/C++,Jupyter notebooks,Microsoft Excel Data Mining,NoSQL,Python,R,SQL,Unix shell / awk","Python","Mix of fields","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,SVMs"
32,"Amazon Machine Learning","","Technology","CNNs"
33,"IBM SPSS Modeler,IBM SPSS Statistics,R,Other","SAS","Academic","Bayesian Techniques,Decision Trees,Regression/Logistic Regression"
34,"Amazon Web services,Java,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,R,SQL","Python","Manufacturing","Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
35,"R","Stata","Government","Regression/Logistic Regression"
36,"C/C++,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,SQL","Python","Internet-based","Bayesian Techniques,Regression/Logistic Regression"
37,"Python","Python","Technology","Bayesian Techniques"
38,"Hadoop/Hive/Pig,Jupyter notebooks,Python,Spark / MLlib,SQL,Tableau","Python","Hospitality/Entertainment/Sports","Random Forests"
39,"Impala,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL,TensorFlow","R","Technology","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression"
40,"IBM SPSS Statistics,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Minitab,R,SQL","R","Technology","Bayesian Techniques,Regression/Logistic Regression"
41,"Python,R","Python","Financial","RNNs,SVMs"
42,"Cloudera,Impala,Java,Jupyter notebooks,Microsoft Azure Machine Learning,Python,Other","Python","Pharmaceutical","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
43,"Hadoop/Hive/Pig,Python,R,TensorFlow","Python","Technology","Bayesian Techniques,Neural Networks,Regression/Logistic Regression"
