season_number,episode_number,rating,votes,episode_order
1,1,8.2,2673,1
1,2,7.9,2101,2
1,3,7.9,2006,3
1,4,7.8,1935,4
1,5,7.7,1809,5
1,6,8.2,1868,6
1,7,8.5,1938,7
1,8,8.2,1870,8
1,9,8.3,1889,9
1,10,8.1,1734,10
1,11,8.1,1730,11
1,12,7.8,1780,12
1,13,8.7,2100,13
2,1,6.6,1915,14
2,2,8.5,1814,15
2,3,8.2,1673,16
2,4,8.2,1696,17
2,5,7.9,1580,18
2,6,7.8,1567,19
2,7,7.6,1577,20
2,8,7.7,1484,21
2,9,7.8,1536,22
2,10,8.1,1503,23
2,11,7.8,1477,24
2,12,8.1,1456,25
2,13,7.8,1437,26
2,14,8,1500,27
2,15,8.6,1699,28
2,16,8.2,1535,29
2,17,8.5,1644,30
2,18,8.1,1506,31
3,1,8.5,1834,32
3,2,8.3,1532,33
3,3,8.1,1578,34
3,4,6.7,1575,35
3,5,7.8,1511,36
3,6,8.4,1649,37
3,7,8.1,1514,38
3,8,8.2,1466,39
3,9,7.6,1381,40
3,10,8,1595,41
3,11,8.8,1894,42
3,12,8.1,1402,43
3,13,8.2,1411,44
3,14,8.4,1496,45
3,15,7.4,1473,46
3,16,8,1377,47
3,17,8.2,1369,48
4,1,8.3,1498,49
4,2,8.7,1623,50
4,3,8.3,1475,51
4,4,7.5,1361,52
4,5,9,2164,53
4,6,8.2,1389,54
4,7,8.3,1421,55
4,8,8.2,1462,56
4,9,8.4,1485,57
4,10,8.4,1404,58
4,11,8.2,1394,59
4,12,8.2,1421,60
4,13,7.9,1337,61
4,14,7,1502,62
4,15,8.6,1604,63
4,16,8.8,1776,64
4,17,7.6,1290,65
5,1,8.5,1647,66
5,2,8.4,1580,67
5,3,8.4,1499,68
5,4,9.6,5704,69
5,5,7.2,1370,70
5,6,8.9,2139,71
5,7,8.6,1617,72
5,8,8.4,1765,73
5,9,8,1631,74
5,10,8.1,1520,75
5,11,8.3,1459,76
5,12,8.2,1459,77
5,13,8.9,2068,78
5,14,8.9,2227,79
6,1,8.2,1505,80
6,2,8.4,1719,81
6,3,8.1,1427,82
6,4,8.1,1414,83
6,5,8.2,1577,84
6,6,8.6,1638,85
6,7,8.9,2199,86
6,8,8.3,1578,87
6,9,8.4,1567,88
6,10,8.3,1584,89
6,11,8.6,1581,90
6,12,8.8,1791,91
