Round,Wk,Day,Date,Time,Home,Score,PKS,Away,Attendance,Venue,Referee,Notes
Group stage,1,Fri,06/07/19,21:00,France,4 - 0,,Korea Rep,45261,Parc des Princes,Claudia Umpierrez,
Group stage,1,Sat,06/08/19,15:00,Germany,1 - 0,,China PR,15283,Roazhon Park,Marie-Soleil Beaudoin,
Group stage,1,Sat,06/08/19,18:00,Spain,3 - 1,,South Africa,12044,Stade Oceane,Maria Carvajal,
Group stage,1,Sat,06/08/19,21:00,Norway,3 - 0,,Nigeria,11058,Stade Auguste-Delaune II,Kate Jacewicz,
Group stage,1,Sun,06/09/19,13:00,Australia,1 - 2,,Italy,15380,Stade du Hainaut,Melissa Borjas,
Group stage,1,Sun,,15:30,Brazil,3 - 0,,Jamaica,17668,Stade des Alpes,Riem Hussein,
Group stage,1,Sun,06/09/19,18:00,England,2 - 1,,Scotland,13188,Stade de Nice,Jana Adamkova,
Group stage,1,Mon,06/10/19,18:00,Argentina,0 - 0,,Japan,25055,Parc des Princes,Stephanie Frappart,
Group stage,1,Mon,06/10/19,21:00,Canada,1 - 0,,Cameroon,10710,Stade de la Mosson,Ri Hyang Ok,
Group stage,1,Tue,06/11/19,15:00,New Zealand,0 - 1,,Netherlands,10654,Stade Oceane,Edina Alves Batista,
Group stage,1,Tue,06/11/19,18:00,Chile,0 - 2,,Sweden,15875,Roazhon Park,Lucila Venegas,
Group stage,1,Tue,06/11/19,21:00,USA,13 - 0,,Thailand,18591,Stade Auguste-Delaune II,Laura Fortunato,
,,,,,,,,,,,,
Group stage,2,Wed,06/12/19,15:00,Nigeria,2 - 0,,Korea Rep,11252,Stade des Alpes,Anastasia Pustovoitova,
Group stage,2,Wed,06/12/19,18:00,Germany,1 - 0,,Spain,20761,Stade du Hainaut,Kateryna Monzul,
Group stage,2,Wed,06/12/19,21:00,France,2 - 1,,Norway,34872,Stade de Nice,Bibiana Steinhaus,
Group stage,2,Thu,06/13/19,18:00,Australia,3 - 2,,Brazil,17032,Stade de la Mosson,Esther Staubli,
Group stage,2,Thu,06/13/19,21:00,South Africa,0 - 1,,China PR,20011,Parc des Princes,Katalin Kulcsar,
Group stage,2,Fri,06/14/19,15:00,Japan,2 - 1,,Scotland,13201,Roazhon Park,Lidya Tafesse,
Group stage,2,Fri,06/14/19,18:00,Jamaica,0 - 5,,Italy,12016,Stade Auguste-Delaune II,Anna-Marie Keighley,
Group stage,2,Fri,06/14/19,21:00,England,1 - 0,,Argentina,20294,Stade Oceane,Qin Liang,
Group stage,2,Sat,06/15/19,15:00,Netherlands,3 - 1,,Cameroon,22423,Stade du Hainaut,Casey Reibelt,
Group stage,2,Sat,06/15/19,21:00,Canada,2 - 0,,New Zealand,14856,Stade des Alpes,Yoshimi Yamashita,
Group stage,2,Sun,06/16/19,15:00,Sweden,5 - 1,,Thailand,9354,Stade de Nice,Salma Mukansanga,
Group stage,2,Sun,06/16/19,18:00,USA,3 - 0,,Chile,45594,Parc des Princes,Riem Hussein,
,,,,,,,,,,,,
Group stage,3,Mon,06/17/19,18:00,China PR,0 - 0,,Spain,11814,Stade Oceane,Edina Alves Batista,
Group stage,3,Mon,06/17/19,18:00,South Africa,0 - 4,,Germany,15502,Stade de la Mosson,Sandra Braz,
Group stage,3,Mon,06/17/19,21:00,Nigeria,0 - 1,,France,28267,Roazhon Park,Melissa Borjas,
Group stage,3,Mon,06/17/19,21:00,Korea Rep,1 - 2,,Norway,13034,Stade Auguste-Delaune II,Marie-Soleil Beaudoin,
Group stage,3,Tue,06/18/19,21:00,Jamaica,1 - 4,,Australia,17402,Stade des Alpes,Katalin Kulcsar,
Group stage,3,Tue,06/18/19,21:00,Italy,0 - 1,,Brazil,21669,Stade du Hainaut,Lucila Venegas,
Group stage,3,Wed,06/19/19,21:00,Scotland,3 - 3,,Argentina,28205,Parc des Princes,Ri Hyang Ok,
Group stage,3,Wed,06/19/19,21:00,Japan,0 - 2,,England,14319,Stade de Nice,Claudia Umpierrez,
Group stage,3,Thu,06/20/19,18:00,Netherlands,2 - 1,,Canada,19277,Stade Auguste-Delaune II,Stephanie Frappart,
Group stage,3,Thu,06/20/19,18:00,Cameroon,2 - 1,,New Zealand,8009,Stade de la Mosson,Kateryna Monzul,
Group stage,3,Thu,06/20/19,21:00,Thailand,0 - 2,,Chile,13567,Roazhon Park,Anna-Marie Keighley,
Group stage,3,Thu,06/20/19,21:00,Sweden,0 - 2,,USA,22418,Stade Oceane,Anastasia Pustovoitova,
,,,,,,,,,,,,
Round of 16,R16,Sat,06/22/19,17:30,Germany,3 - 0,,Nigeria,17988,Stade des Alpes,Yoshimi Yamashita,
Round of 16,R16,Sat,06/22/19,21:00,Norway,1 - 1,4 - 1,Australia,12229,Stade de Nice,Riem Hussein,Norway won on penalty kicks following extra time
Round of 16,R16,Sun,06/23/19,17:30,England,3 - 0,,Cameroon,20148,Stade du Hainaut,Qin Liang,
Round of 16,R16,Sun,06/23/19,21:00,France,2 - 1,,Brazil,23965,Stade Oceane,Marie-Soleil Beaudoin,Required Extra Time
Round of 16,R16,Mon,06/24/19,18:00,Spain,1 -2,,USA,19633,Stade Auguste-Delaune II,Katalin Kulcsar,
Round of 16,R16,Mon,06/24/19,21:00,Sweden,1 - 0,,Canada,38078,Parc des Princes,Kate Jacewicz,
Round of 16,R16,Tue,06/25/19,18:00,Italy,2 - 0,,China PR,17492,Stade de la Mosson,Edina Alves Batista,
Round of 16,R16,Tue,06/25/19,21:00,Netherlands,2 - 1,,Japan,21076,Roazhon Park,Melissa Borjas,
Quarterfinals,QRTF,Thu,06/27/19,21:00,Norway,0 - 3,,England,21111,Stade Oceane,Lucila Venegas,
Quarterfinals,QRTF,Fri,06/28/19,21:00,France,1 - 2,,USA,45595,Parc des Princes,Kateryna Monzul,
Quarterfinals,QRTF,Sat,06/29/19,15:00,Italy,0 - 2,,Netherlands,22600,Stade du Hainaut,Claudia Umpierrez,
Quarterfinals,QRTF,Sat,06/29/19,18:30,Germany,1 - 2,,Sweden,25301,Roazhon Park,Stephanie Frappart,
Semifinals,SMIF,Tue,07/02/19,21:00,England,1 - 2,,USA,53512,,Edina Alves Batista,
Semifinals,SMIF,Wed,07/03/19,21:00,Netherlands,1 - 0,,Sweden,48452,Groupama Stadium,Marie-Soleil Beaudoin,Required Extra Time
3rd-place match,3rd,Sat,07/06/19,17:00,England,1 - 2,,Sweden,20316,Stade de Nice,Anastasia Pustovoitova,
Final,FIN,Sun,07/07/19,17:00,USA,2 - 0,,Netherlands,579000,Groupama Stadium,Stephanie Frappart,
