Date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30
2019-03-29,2.3719,2.2679,2.226,2.2219,2.2398,2.2695,2.3048,2.3419,2.3788,2.4143,2.448,2.4798,2.5099,2.5385,2.5659,2.5924,2.6182,2.6437,2.6688,2.6939,2.7191,2.7443,2.7697,2.7953,2.8212,2.8473,2.8736,2.9002,2.9269,2.9538
2019-03-28,2.3601,2.2365,2.191,2.1902,2.2137,2.249,2.289,2.3296,2.3688,2.4058,2.4403,2.4726,2.503,2.5318,2.5595,2.5864,2.6127,2.6388,2.6647,2.6907,2.7168,2.7431,2.7696,2.7963,2.8233,2.8504,2.8778,2.9052,2.9328,2.9605
2019-03-27,2.356,2.2196,2.1691,2.1678,2.1931,2.2313,2.2747,2.3189,2.3616,2.402,2.4398,2.4752,2.5084,2.5398,2.5698,2.5988,2.627,2.6547,2.6821,2.7092,2.7362,2.7632,2.7901,2.8171,2.844,2.871,2.898,2.9249,2.9518,2.9785
2019-03-26,2.3811,2.2419,2.1854,2.179,2.2016,2.2398,2.2853,2.3329,2.38,2.4249,2.467,2.5063,2.5429,2.577,2.6091,2.6395,2.6686,2.6967,2.724,2.7508,2.7772,2.8035,2.8296,2.8557,2.8819,2.9081,2.9344,2.9607,2.9872,3.0138
2019-03-25,2.3901,2.2557,2.2049,2.203,2.2281,2.267,2.3116,2.3576,2.4024,2.4449,2.4848,2.522,2.5567,2.5895,2.6206,2.6503,2.6789,2.7068,2.7341,2.761,2.7876,2.8139,2.8402,2.8663,2.8924,2.9184,2.9443,2.9702,2.9959,3.0216
2019-03-22,2.4222,2.306,2.255,2.2454,2.2613,2.2919,2.3303,2.3719,2.4141,2.4553,2.4945,2.5316,2.5664,2.5991,2.63,2.6593,2.6873,2.7143,2.7405,2.7661,2.7914,2.8164,2.8413,2.8662,2.8911,2.9161,2.9413,2.9666,2.9921,3.0178
2019-03-21,2.4634,2.3891,2.3558,2.351,2.3652,2.3917,2.4257,2.4637,2.5034,2.5431,2.582,2.6193,2.6549,2.6885,2.7204,2.7506,2.7793,2.8066,2.833,2.8585,2.8834,2.9078,2.932,2.956,2.9801,3.0043,3.0288,3.0535,3.0787,3.1042
2019-03-20,2.4671,2.3867,2.3515,2.3469,2.3625,2.3908,2.4267,2.4665,2.5079,2.5492,2.5894,2.6281,2.665,2.7,2.7331,2.7644,2.7943,2.8228,2.8502,2.8766,2.9023,2.9274,2.952,2.9763,3.0004,3.0244,3.0482,3.0721,3.096,3.12
2019-03-19,2.4974,2.4465,2.4257,2.4263,2.4418,2.4674,2.4993,2.5349,2.5723,2.6101,2.6476,2.684,2.7191,2.7527,2.7846,2.8151,2.8441,2.8718,2.8983,2.9239,2.9485,2.9726,2.996,3.0191,3.0418,3.0644,3.0869,3.1094,3.132,3.1547
2019-03-18,2.4953,2.4398,2.4173,2.4177,2.4336,2.4597,2.4919,2.5275,2.5646,2.602,2.6386,2.6742,2.7083,2.7409,2.772,2.8017,2.8302,2.8575,2.8839,2.9095,2.9345,2.959,2.9832,3.0071,3.031,3.0548,3.0786,3.1025,3.1266,3.1509
2019-03-15,2.4933,2.4279,2.4009,2.4001,2.4164,2.4436,2.4773,2.5144,2.5528,2.5913,2.6289,2.6653,2.7002,2.7336,2.7655,2.796,2.8254,2.8537,2.8812,2.908,2.9342,2.96,2.9855,3.0109,3.0361,3.0612,3.0864,3.1117,3.137,3.1624
2019-03-14,2.5048,2.4495,2.4286,2.4314,2.4499,2.4784,2.5129,2.5506,2.5896,2.6285,2.6665,2.7032,2.7384,2.7719,2.8038,2.8342,2.8633,2.8912,2.9181,2.9442,2.9695,2.9943,3.0187,3.0427,3.0665,3.0902,3.1138,3.1374,3.1611,3.1848
2019-03-13,2.5031,2.4399,2.4151,2.4161,2.4338,2.4616,2.4953,2.5318,2.569,2.6059,2.6415,2.6757,2.7082,2.7391,2.7686,2.7968,2.8239,2.8502,2.8758,2.901,2.9259,2.9507,2.9756,3.0005,3.0257,3.0511,3.0769,3.1031,3.1297,3.1566
2019-03-12,2.5051,2.4401,2.4139,2.4137,2.4304,2.4576,2.4908,2.527,2.564,2.6008,2.6364,2.6706,2.7031,2.734,2.7633,2.7913,2.8182,2.8441,2.8693,2.894,2.9182,2.9422,2.9661,2.9901,3.0141,3.0383,3.0627,3.0874,3.1123,3.1376
2019-03-11,2.5144,2.4635,2.4438,2.4458,2.4626,2.489,2.5214,2.557,2.5941,2.6313,2.6679,2.7033,2.7373,2.7697,2.8006,2.8301,2.8582,2.8852,2.9112,2.9363,2.9607,2.9846,3.0081,3.0313,3.0543,3.0773,3.1002,3.1232,3.1463,3.1696
2019-03-08,2.5096,2.4484,2.4241,2.4248,2.442,2.4695,2.5031,2.5397,2.5774,2.6148,2.6513,2.6863,2.7196,2.7512,2.7811,2.8096,2.8366,2.8626,2.8875,2.9117,2.9352,2.9582,2.9808,3.0032,3.0255,3.0477,3.0699,3.0921,3.1144,3.1368
2019-03-07,2.5137,2.4593,2.4391,2.4422,2.4607,2.4889,2.5229,2.5599,2.5978,2.6356,2.6723,2.7076,2.7412,2.7731,2.8034,2.8322,2.8596,2.8859,2.9111,2.9355,2.9593,2.9826,3.0055,3.0281,3.0506,3.073,3.0954,3.1179,3.1405,3.1633
2019-03-06,2.534,2.4991,2.489,2.4962,2.5154,2.5423,2.5741,2.6085,2.6441,2.6799,2.715,2.7491,2.782,2.8135,2.8436,2.8723,2.8998,2.9261,2.9513,2.9757,2.9993,3.0222,3.0446,3.0665,3.0881,3.1094,3.1305,3.1515,3.1723,3.1932
2019-03-05,2.5514,2.5282,2.5241,2.5337,2.5531,2.5792,2.6095,2.6424,2.6765,2.7109,2.745,2.7783,2.8106,2.8415,2.8712,2.8995,2.9266,2.9525,2.9772,3.001,3.0238,3.0458,3.0672,3.0879,3.1082,3.128,3.1476,3.1669,3.186,3.205
2019-03-04,2.5457,2.5222,2.5193,2.531,2.5525,2.5806,2.6127,2.6469,2.682,2.717,2.7514,2.7847,2.8168,2.8475,2.8769,2.9049,2.9317,2.9574,2.982,3.0057,3.0286,3.0508,3.0725,3.0937,3.1145,3.1351,3.1554,3.1755,3.1955,3.2154
2019-03-01,2.5474,2.537,2.543,2.5606,2.5859,2.6164,2.65,2.6851,2.7208,2.7563,2.7911,2.8248,2.8574,2.8887,2.9186,2.9472,2.9746,3.0008,3.0259,3.05,3.0732,3.0955,3.1171,3.138,3.1584,3.1782,3.1975,3.2164,3.2349,3.2531
2019-02-28,2.53,2.5049,2.5041,2.5197,2.5459,2.5785,2.6147,2.6524,2.6902,2.7271,2.7627,2.7967,2.8289,2.8594,2.8882,2.9154,2.9413,2.966,2.9897,3.0125,3.0346,3.0561,3.0772,3.0979,3.1185,3.1388,3.1591,3.1794,3.1997,3.22
2019-02-27,2.5202,2.4835,2.4753,2.4863,2.5099,2.5414,2.5772,2.6151,2.6534,2.6911,2.7275,2.7623,2.7953,2.8266,2.8561,2.8841,2.9106,2.9359,2.9602,2.9836,3.0062,3.0283,3.0499,3.0713,3.0924,3.1133,3.1342,3.1552,3.1761,3.1972
2019-02-26,2.5116,2.4629,2.4459,2.4504,2.469,2.4964,2.5288,2.5637,2.5993,2.6346,2.6688,2.7015,2.7327,2.7623,2.7904,2.8172,2.8428,2.8674,2.8912,2.9144,2.9372,2.9596,2.9819,3.004,3.0263,3.0486,3.071,3.0937,3.1167,3.1399
2019-02-25,2.5233,2.485,2.4735,2.4804,2.4998,2.5272,2.5593,2.5938,2.6292,2.6644,2.6986,2.7315,2.7629,2.7927,2.821,2.8478,2.8733,2.8977,2.9211,2.9437,2.9657,2.9871,3.0082,3.0291,3.0498,3.0706,3.0913,3.1122,3.1332,3.1545
2019-02-22,2.5136,2.4715,2.4587,2.4657,2.4857,2.5138,2.5465,2.5815,2.6171,2.6523,2.6864,2.719,2.75,2.7795,2.8074,2.8339,2.8591,2.8833,2.9066,2.9291,2.9511,2.9726,2.9938,3.0148,3.0357,3.0566,3.0775,3.0985,3.1196,3.1408
2019-02-21,2.5249,2.5062,2.5031,2.5119,2.5294,2.5532,2.5812,2.612,2.6444,2.6775,2.7107,2.7434,2.7753,2.8063,2.836,2.8645,2.8917,2.9176,2.9423,2.9658,2.9882,3.0095,3.0299,3.0494,3.068,3.086,3.1034,3.1202,3.1365,3.1524
2019-02-20,2.5154,2.4819,2.4706,2.4753,2.4912,2.5147,2.543,2.5742,2.6068,2.6396,2.672,2.7035,2.7338,2.7628,2.7904,2.8166,2.8415,2.8653,2.8879,2.9097,2.9306,2.9509,2.9707,2.9901,3.0093,3.0282,3.0471,3.066,3.0849,3.104
2019-02-19,2.5161,2.4817,2.4704,2.4755,2.4921,2.5161,2.5449,2.5763,2.6088,2.6414,2.6733,2.7042,2.7338,2.7619,2.7886,2.814,2.8381,2.8611,2.8831,2.9044,2.925,2.9452,2.965,2.9847,3.0043,3.024,3.0438,3.0639,3.0842,3.105
2019-02-15,2.5234,2.4991,2.4923,2.4985,2.5139,2.5358,2.5619,2.5907,2.6209,2.6515,2.6819,2.7116,2.7404,2.768,2.7944,2.8197,2.8437,2.8667,2.8887,2.9098,2.9301,2.9499,2.9691,2.988,3.0067,3.0252,3.0436,3.0622,3.0808,3.0997
2019-02-14,2.5138,2.4829,2.4739,2.4805,2.498,2.523,2.5526,2.5848,2.6182,2.6518,2.6847,2.7166,2.7471,2.7762,2.8037,2.8299,2.8547,2.8783,2.9008,2.9224,2.9434,2.9638,2.9838,3.0035,3.0232,3.0429,3.0627,3.0827,3.103,3.1237
2019-02-13,2.5308,2.5176,2.519,2.5312,2.5511,2.5762,2.6047,2.6352,2.6664,2.6977,2.7285,2.7584,2.787,2.8144,2.8404,2.865,2.8884,2.9106,2.9317,2.9519,2.9714,2.9902,3.0086,3.0266,3.0445,3.0623,3.0802,3.0983,3.1166,3.1353
2019-02-12,2.5172,2.488,2.4818,2.4917,2.5126,2.5407,2.5729,2.6073,2.6422,2.6767,2.71,2.7417,2.7716,2.7997,2.8259,2.8505,2.8735,2.8952,2.9158,2.9355,2.9545,2.9731,2.9914,3.0097,3.028,3.0466,3.0655,3.0849,3.1049,3.1256
2019-02-11,2.5082,2.4707,2.46,2.4677,2.4877,2.5155,2.5478,2.5823,2.6172,2.6516,2.6847,2.7161,2.7457,2.7734,2.7994,2.8238,2.8467,2.8684,2.8891,2.909,2.9283,2.9473,2.9661,2.9848,3.0036,3.0226,3.0419,3.0616,3.0819,3.1026
2019-02-08,2.4992,2.4509,2.4342,2.4393,2.4588,2.4874,2.5211,2.5571,2.5936,2.6293,2.6635,2.6956,2.7256,2.7534,2.7792,2.8032,2.8256,2.8466,2.8667,2.886,2.9048,2.9233,2.9418,2.9604,2.9793,2.9987,3.0187,3.0393,3.0608,3.083
2019-02-07,2.5079,2.4667,2.4527,2.4579,2.4763,2.5035,2.5359,2.5711,2.6074,2.6433,2.6782,2.7114,2.7428,2.7721,2.7995,2.825,2.8489,2.8714,2.8926,2.9129,2.9325,2.9516,2.9705,2.9893,3.0083,3.0276,3.0473,3.0677,3.0888,3.1107
2019-02-06,2.5302,2.5015,2.4945,2.5032,2.5229,2.5501,2.5819,2.6163,2.6516,2.6868,2.7211,2.7539,2.785,2.8142,2.8415,2.8671,2.8909,2.9133,2.9343,2.9544,2.9736,2.9923,3.0107,3.0289,3.0472,3.0658,3.0849,3.1045,3.1249,3.1462
