nacchoid,tobacco,nutrition,state,type,rurality,population,leader.tenure,fte
AK001,0,1,AK,county,urban,301010,1.604380608,156
AK101,0,1,AK,multi-county,rural,418302,1.831622124,187.5
AL004,1,1,AL,county,rural,22506,NA,NA
AL015,1,1,AL,county,rural,15080,5.831622124,10
AL038,1,1,AL,county,urban,660793,4.498288631,NA
AL042,0,1,AL,county,urban,154255,0.7364818454,NA
AL050,1,1,AL,county,urban,415123,25.91649628,437
AL066,1,1,AL,county,urban,202212,NA,NA
AL080,NA,1,AL,county,urban,119607,0.6598220468,44
AR002,1,1,AR,county,rural,20948,20.24093056,NA
AR003,0,1,AR,county,rural,40857,3.244353294,NA
AR004,1,1,AR,county,urban,242321,34.18754196,39.1
AR005,1,1,AR,county,rural,37196,3.712525606,17
AR006,1,1,AR,county,rural,11148,2.584531069,9
AR007,1,1,AR,county,rural,5202,1.00752914,NA
AR008,NA,1,AR,county,rural,27744,0.2381930202,6.5
AR009,1,1,AR,county,rural,11180,NA,NA
AR010,1,1,AR,county,rural,22576,5.916495323,10.75
AR012,1,0,AR,county,rural,25634,11.15948009,NA
AR013,1,1,AR,county,urban,8449,18.95961761,11
AR014,1,0,AR,county,rural,23933,7.244353294,17.5
AR015,1,1,AR,county,rural,21083,5.300478935,5
AR016,1,1,AR,county,urban,102518,12.16153336,34.8
AR017,1,1,AR,county,urban,61697,9.412731171,8
AR018,1,1,AR,county,urban,49548,0.6214921474,7
AR019,1,1,AR,county,rural,17227,2.245037556,NA
AR020,1,1,AR,county,rural,7755,7.408624172,38
AR021,1,1,AR,county,rural,12264,10.20670795,33
AR022,0,1,AR,county,rural,18622,10.48596859,6
AR024,0,1,AR,county,rural,12125,NA,1.4
AR025,1,1,AR,county,urban,97322,0.2381930202,32
AR026,1,1,AR,county,urban,18144,1.831622124,5.5
AR027,1,1,AR,county,rural,43694,0.1615331918,15
AR028,1,1,AR,county,rural,22327,4.848733902,19
AR029,1,1,AR,county,rural,33368,10.24503803,6
AR030,1,1,AR,county,rural,13500,15.24435329,18
AR031,1,1,AR,county,rural,36959,21.54414749,16
AR032,1,1,AR,county,rural,13486,NA,8
AR033,1,1,AR,county,rural,17534,0.2819986343,9
AR034,1,1,AR,county,urban,72297,15.48802185,18
AR036,1,1,AR,county,rural,7111,0.3559206128,4
AR037,NA,NA,AR,county,rural,16931,0.1615331918,10
AR038,1,1,AR,county,rural,9860,9.738534927,13
AR039,1,1,AR,county,rural,13970,1.49760437,8
AR040,1,1,AR,county,rural,12532,NA,NA
AR043,1,1,AR,county,rural,15740,13.74948692,5
AR044,0,0,AR,county,rural,16367,4.665297508,5
AR045,1,1,AR,county,urban,43428,0.7501711249,32
AR046,1,1,AR,county,rural,44235,5.048596859,20
AR047,1,1,AR,county,rural,7582,1.412731051,4
AR049,1,1,AR,county,rural,8723,NA,12.5
AR050,1,1,AR,county,rural,7904,0.2381930202,17
AR051,1,1,AR,county,rural,24828,14.24503803,14
AR052,1,1,AR,county,rural,10245,0.1615331918,2
AR053,1,1,AR,county,rural,19930,0.4134154618,16
AR054,1,1,AR,county,rural,11024,0.7501711249,10
AR055,1,1,AR,county,urban,24246,0.7501711249,16
AR056,1,1,AR,county,rural,20225,0.8323066235,13
AR057,1,1,AR,county,rural,63201,0.6652977467,NA
AR058,1,1,AR,county,rural,8304,2.997946501,1
AR060,0,1,AR,county,rural,17571,1.749486685,5
AR061,1,1,AR,county,urban,115719,4.999315739,18.5
AR062,1,1,AR,county,rural,10693,15.8302536,4
AR063,1,1,AR,county,rural,7929,5.49760437,21
AR064,1,1,AR,county,urban,126776,NA,28
AR065,0,NA,AR,county,rural,17426,0.2381930202,26
AR066,1,1,AR,county,rural,16906,5.749486446,9
AR067,1,1,AR,county,rural,26899,0.7008898258,16.6
AR068,1,1,AR,county,rural,12494,39.29637146,13
AR069,0,1,AR,county,rural,40227,1.434633851,NA
AR070,1,1,AR,county,rural,16851,NA,17.5
AR071,1,0,AR,county,urban,220792,2.663928747,60
AR075,1,1,AR,county,rural,17805,2.245037556,4.5
AR110,1,1,AR,county,rural,21958,3.611225128,17
AR112,1,1,AR,county,urban,392702,NA,97
AZ001,1,1,AZ,county,rural,71828,6.412046432,27
AZ002,1,1,AZ,county,rural,127448,5.49760437,75
AZ003,1,1,AZ,county,urban,137682,2.48049283,80
AZ005,0,1,AZ,county,rural,37957,1.215605736,21
AZ006,1,1,AZ,county,rural,9346,NA,23
AZ007,1,0,AZ,county,rural,20231,22.74880219,19
AZ008,1,1,AZ,county,urban,4087191,9.46475029,662.73
AZ009,1,1,AZ,county,rural,203361,20.31759071,68.35
AZ010,1,1,AZ,county,rural,108101,1.880903482,56
AZ011,1,1,AZ,county,urban,1004516,3.238877535,330
AZ012,1,1,AZ,county,rural,401918,11.66324425,124
AZ014,1,1,AZ,county,urban,218844,2.579055548,195
AZ015,1,1,AZ,county,urban,203247,4.224503994,96
AZ017,1,1,AZ,county,rural,53119,4.736481667,40
BPHC,NA,NA,NA,NA,NA,NA,NA,NA
CA001,NA,NA,NA,NA,NA,NA,NA,NA
CA002,NA,NA,NA,NA,NA,NA,NA,NA
CA003,NA,NA,NA,NA,NA,NA,NA,NA
CA004,1,1,CA,city,urban,118853,0.1615331918,54
CA005,1,1,CA,county,rural,224241,3.077344179,NA
CA006,NA,NA,NA,NA,NA,NA,NA,NA
CA010,1,1,CA,county,rural,183087,2.672142267,76
CA011,1,1,CA,county,urban,965974,NA,338
CA013,1,1,CA,county,rural,134809,NA,240.3
CA016,NA,NA,NA,NA,NA,NA,NA,NA
CA017,NA,NA,NA,NA,NA,NA,NA,NA
CA019,1,1,CA,county,rural,31749,NA,20.5
CA020,1,1,CA,city,urban,473577,2.546201229,NA
CA022,1,1,CA,county,urban,154548,5.700205326,111.5
CA023,NA,NA,NA,NA,NA,NA,NA,NA
CA024,NA,NA,NA,NA,NA,NA,NA,NA
CA025,1,1,CA,county,rural,87869,0.04380561411,NA
CA026,1,1,CA,county,urban,266353,3.764544725,123
CA027,NA,NA,NA,NA,NA,NA,NA,NA
CA029,1,1,CA,county,urban,431344,0.08487337083,861
CA030,NA,NA,NA,NA,NA,NA,NA,NA
CA031,1,1,CA,county,rural,98893,0.3915126622,35.4
CA032,1,1,CA,county,urban,3145515,8.736481667,689.7
CA033,1,1,CA,city,urban,140881,0.5612593889,89.78
CA034,1,1,CA,county,urban,371694,2.250513315,749
CA035,NA,NA,NA,NA,NA,NA,NA,NA
CA036,1,1,CA,county,urban,2329271,0.1615331918,622
CA038,NA,NA,CA,county,rural,58267,NA,25
CA039,1,0,CA,county,urban,2112619,4.019165039,NA
CA040,1,1,CA,county,urban,3263431,9.160848618,485.5
CA041,NA,NA,NA,NA,NA,NA,NA,NA
CA042,1,1,CA,county,urban,715597,1.234770656,220
CA043,1,1,CA,county,urban,279083,7.578371048,175
CA044,NA,NA,NA,NA,NA,NA,NA,NA
CA045,1,1,CA,county,urban,9502247,1.579739928,3740
CA046,1,1,CA,county,urban,1894605,NA,NA
CA047,NA,NA,NA,NA,NA,NA,NA,NA
CA048,1,1,CA,county,urban,179804,3.329226494,75
CA049,1,1,CA,county,rural,3003,1.916495562,7.25
CA051,1,1,CA,county,urban,431131,5.374401093,330
CA052,0,0,CA,county,urban,500292,0.4845995903,535.36
CA053,1,1,CA,county,urban,531997,NA,161
CA054,1,1,CA,county,urban,95847,0.4873374403,67.3
CA055,1,1,CA,county,rural,63067,NA,28
CA056,NA,NA,NA,NA,NA,NA,NA,NA
CA058,1,1,CA,county,urban,458198,2.614647388,313
CA059,1,1,CA,county,rural,53831,NA,28
CA060,1,1,CA,county,urban,846178,3.049965858,307.18
CA062,1,1,CA,county,rural,207590,0.9993155599,50
CA063,1,1,CA,county,urban,73966,0.7173169255,36
CA064,1,1,CA,county,urban,440668,6.045174599,525.91
CO001,1,0,CO,county,rural,16177,1.828884363,70.5
CO003,1,1,CO,county,rural,17626,9.412731171,9
CO004,1,1,CO,county,urban,62138,2.083504438,17.5
CO005,NA,NA,NA,NA,NA,NA,NA,NA
CO006,1,1,CO,county,urban,313333,7.748117924,140.95
CO007,1,1,CO,county,rural,18363,0.6680355668,13
CO009,1,1,CO,county,rural,1871,14.8062973,4.5
CO011,1,0,CO,county,rural,8265,14.74880219,2.5
CO012,1,1,CO,county,rural,3568,26.62559891,32
CO013,1,1,CO,county,rural,786,6.496920109,5.5
CO014,0,1,CO,county,rural,4361,2.245037556,1.8
CO015,1,1,CO,county,rural,29870,32.37508392,12.6
CO017,1,1,CO,county,rural,1978,13.74948692,2
CO018,NA,NA,CO,county,rural,52921,NA,NA
CO019,1,1,CO,county,urban,663519,1.593429208,143
CO023,0,1,CO,county,rural,57461,2.915811062,30
CO024,1,0,CO,county,rural,5851,6.748802185,1
CO025,1,1,CO,county,rural,14546,12.44626999,7.2
CO026,1,1,CO,county,rural,15725,0.9993155599,13.28
CO029,1,1,CO,county,urban,558503,25.99863052,158
CO030,1,1,CO,county,rural,1402,2.707734346,2.43
CO031,1,1,CO,county,rural,8072,0.2464065701,13
CO034,1,0,CO,county,urban,324122,28.48733711,97
CO035,1,1,CO,multi-county,rural,20514,0.5065023899,16.2
CO036,1,1,CO,county,rural,5510,3.997262239,3.8
CO037,1,1,CO,county,urban,148255,5.240246296,77.3
CO038,1,1,CO,county,rural,698,1.579739928,5
CO040,1,1,CO,county,rural,25772,1.916495562,26
CO042,1,1,CO,county,rural,40873,0.6652977467,16.7
CO043,1,1,CO,multi-county,rural,72545,4.413415432,41
CO045,1,1,CO,multi-county,rural,23848,15.66324425,17
CO046,1,1,CO,county,rural,4629,2.729637146,3
CO049,1,1,CO,county,rural,12034,2.707734346,11.4
CO050,1,1,CO,county,urban,161875,0.9856262803,77.48
CO052,1,0,CO,county,rural,11607,1.99863112,5.25
CO054,1,1,CO,county,rural,6196,0.4490075409,19.3
CO055,1,1,CO,multi-county,rural,66233,2.663928747,55
CO056,1,0,CO,county,rural,720,0.9664613008,2.25
CO057,NA,NA,NA,NA,NA,NA,NA,NA
CO058,1,1,CO,county,rural,29404,2.329910994,20.16
CO060,1,1,CO,county,urban,23389,3.915126562,9.2
CO062,1,1,CO,multi-county,urban,1414177,2.461327791,346.52
CO064,1,1,CO,county,urban,277670,16.00821304,88.53
CO074,1,1,CO,county,rural,16345,5.560575008,5.25
CO079,1,1,CO,county,rural,3645,0.5804243684,3
CO085,1,0,CO,county,urban,663862,4.999315739,156
CO086,0,0,CO,county,rural,7357,3.389459372,7
CO087,1,1,CO,county,urban,9187,4.917180061,NA
CT005,NA,NA,NA,NA,NA,NA,NA,NA
CT006,1,1,CT,multi-city,urban,84143,20.81040382,12
CT009,NA,NA,NA,NA,NA,NA,NA,NA
CT011,1,1,CT,multi-city,urban,70146,3.47707057,42
CT012,0,0,CT,city,urban,17055,6.817248344,3.6
CT015,NA,NA,NA,NA,NA,NA,NA,NA
CT021,0,0,CT,city,urban,14113,11.39219666,2.5
CT022,0,0,CT,city,urban,83784,10.91581154,12
CT023,0,0,CT,city,urban,21689,7.57289505,4
CT028,0,1,CT,city,urban,51033,8.993840218,24
CT030,1,1,CT,multi-city,urban,71591,6.140999317,14
CT031,0,0,CT,city,urban,7631,11.74811745,NA
