from,to
AK001,OR024
AK101,AK001
AL038,AL050
AL038,KY032
AL038,AL080
AL038,TN020
AL038,AL066
AR004,MO048
AR004,OK072
AR005,AR008
AR005,AR044
AR005,AR050
AR005,AR063
AR006,AR002
AR006,AR009
AR006,AR021
AR006,AR022
AR006,AR039
AR007,AR020
AR007,AR051
AR008,AR005
AR008,AR043
AR008,AR071
AR008,AR057
AR009,AR002
AR009,AR021
AR009,AR022
AR009,AR058
AR009,AR006
AR010,AR014
AR010,AR028
AR010,AR029
AR010,AR045
AR010,AR049
AR013,AR002
AR013,AR006
AR013,AR022
AR013,AR034
AR013,AR039
AR015,AR003
AR015,AR057
AR015,AR070
AR015,AR075
AR015,AR110
AR016,AR019
AR016,AR027
AR016,AR046
AR016,AR055
AR017,AR057
AR017,AR062
AR017,AR064
AR017,AR110
AR017,AR075
AR020,AR007
AR020,AR014
AR020,AR045
AR020,AR051
AR020,AR069
AR021,AR002
AR021,AR006
AR021,AR009
AR021,AR034
AR021,AR039
AR022,AR002
AR022,AR006
AR022,AR009
AR022,AR013
AR022,AR039
AR026,AR025
AR026,AR052
AR026,AR061
AR026,AR112
AR028,AR036
AR028,AR049
AR030,AR040
AR030,AR045
AR030,AR054
AR030,AR057
AR030,AR065
AR031,AR027
AR031,AR066
AR031,AR066
AR031,AR068
AR031,AR027
AR033,AL015
AR033,AR027
AR033,AR031
AR033,AR037
AR033,AR066
AR036,AR014
AR036,AR028
AR036,AR045
AR037,AR016
AR038,AR039
AR038,AR047
AR038,AR053
AR038,AR067
AR039,AR006
AR039,AR009
AR039,AR021
AR039,AR022
AR039,AR034
AR045,AR028
AR045,AR036
AR045,AR040
AR045,AR054
AR045,AR065
AR046,AR016
AR046,AR018
AR046,AR027
AR049,AR028
AR049,AR045
AR050,AR005
AR050,AR008
AR050,AR057
AR050,AR063
AR050,AR110
AR051,AR007
AR051,AR014
AR051,AR020
AR051,AR056
AR051,AR069
AR060,AR016
AR060,AR032
AR060,AR033
AR060,AR037
AR060,AR066
AR061,AR026
AR062,AR017
AR062,AR064
AR062,AR110
AR063,AR003
AR063,AR005
AR063,AR024
AR063,AR050
AR063,AR070
AR066,AR012
AR066,AR016
AR066,AR024
AR066,AR031
AR066,AR068
AR067,AR047
AR070,AR057
AR070,AR063
AR071,AR004
AR071,AR043
AR071,AR064
AZ002,AZ005
AZ002,AZ006
AZ002,AZ008
AZ002,AZ011
AZ002,AZ017
AZ006,AZ005
AZ007,AZ002
AZ007,AZ008
AZ007,AZ009
AZ007,AZ015
AZ007,AZ017
AZ008,AZ009
AZ008,AZ011
AZ008,AZ012
AZ008,AZ015
AZ008,AZ017
AZ009,AZ007
AZ009,AZ008
AZ009,AZ012
AZ009,AZ014
AZ009,AZ015
AZ010,AZ001
AZ010,AZ003
AZ010,AZ009
AZ010,AZ017
AZ011,AZ003
AZ011,AZ008
AZ011,AZ012
AZ011,AZ015
AZ011,AZ017
AZ012,AZ008
AZ012,AZ009
AZ012,AZ011
AZ014,AZ003
AZ014,AZ008
AZ014,AZ009
AZ014,AZ015
AZ014,AZ017
AZ015,AZ002
AZ015,AZ017
AZ015,AZ008
AZ015,AZ011
AZ017,IL038
AZ017,AZ012
AZ017,TX134
AZ017,AZ015
CA005,MI026
CA005,CA031
CA005,CA035
CA005,CA048
CA010,CA002
CA010,CA031
CA010,CA034
CA010,CA045
CA010,CA048
CA011,CA022
CA011,CA026
CA011,CA042
CA011,CA053
CA011,CA017
CA013,CA032
CA013,CA042
CA013,CA048
CA013,CA052
CA013,CA022
CA019,CA005
CA019,CA048
CA019,CA049
CA019,CA027
CA019,CA035
CA020,CA001
CA020,CA033
CA020,CA045
CA020,CA060
CA022,CA011
CA022,CA026
CA022,CA042
CA022,CA053
CA022,CA017
CA026,CA011
CA026,CA022
CA026,CA042
CA026,CA053
CA029,WA022
CA029,OR024
CA029,CA040
CA029,CA047
CA032,CA036
CA032,CA039
CA032,CA040
CA032,CA045
CA032,CA062
CA033,CA020
CA033,CA032
CA033,CA039
CA033,CA045
CA036,CA032
CA036,CA039
CA036,CA040
CA036,CA045
CA038,CA011
CA038,CA026
CA038,CA046
CA038,CA029
CA038,CA047
CA040,CA004
CA040,CA032
CA040,CA036
CA040,CA045
CA040,CA041
CA042,CA011
CA042,CA022
CA042,CA053
CA042,CA006
CA042,CA026
CA043,CA029
CA043,CA032
CA043,CA045
CA043,CA064
CA043,CA023
CA046,CA001
CA046,CA045
CA046,CA041
CA046,CA044
CA051,CA001
CA051,CA032
CA051,CA040
CA051,CA045
CA051,CA023
CA052,CA001
CA052,CA025
CA052,CA023
CA052,CA030
CA053,CA011
CA053,CA022
CA053,CA026
CA053,CA042
CA054,CA034
CA054,CA048
CA054,CA062
CA054,CA063
CA054,CA056
CA055,CA034
CA055,CA036
CA055,CA048
CA055,CA062
CA055,CA035
CA058,CA011
CA058,CA016
CA058,CA017
CA059,CA003
CA059,CA042
CA059,CA053
CA059,CA006
CA059,CA024
CA063,CA031
CA063,CA034
CA063,CA054
CO001,CO011
CO001,CO012
CO001,CO013
CO001,CO052
CO001,CO054
CO003,CO018
CO003,CO023
CO003,CO037
CO003,CO058
CO006,CO004
CO006,CO085
CO006,CO029
CO006,CO037
CO006,CO062
CO007,CO019
CO007,CO086
CO007,CO074
CO007,CO058
CO007,CO060
CO009,CO079
CO009,CO045
CO009,CO031
CO009,CO036
CO009,CO049
CO011,CO001
CO011,CO012
CO011,CO038
CO011,CO052
CO011,CO054
CO012,CO001
CO012,CO052
CO012,CO011
CO012,CO054
CO013,CO015
CO013,CO026
CO013,CO042
CO013,CO046
CO013,CO057
CO014,CO045
CO014,CO035
CO014,CO049
CO014,CO058
CO014,CO060
CO015,CO034
CO015,CO029
CO015,CO045
CO017,CO040
CO017,CO055
CO017,CO056
CO018,CO003
CO018,CO023
CO018,CO037
CO018,CO050
CO018,CO062
CO023,CO006
CO023,CO037
CO023,CO018
CO023,CO019
CO023,CO003
CO024,CO087
CO024,CO029
CO025,CO087
CO025,CO003
CO025,CO023
CO025,CO058
CO025,CO060
CO029,CO006
CO029,CO004
CO029,CO085
CO029,CO085
CO029,CO062
CO030,CO079
CO030,CO009
CO030,CO045
CO030,CO031
CO031,CO009
CO031,CO034
CO031,CO036
CO031,CO043
CO031,CO064
CO034,CO006
CO034,CO015
CO034,CO029
CO034,CO062
CO034,CO064
CO035,CO045
CO035,CO014
CO035,CO050
CO036,CO009
CO036,CO031
CO037,CO006
CO037,CO023
CO038,CO001
CO038,CO011
CO038,CO012
CO038,CO052
CO038,CO054
CO040,CO055
CO040,CO017
CO042,CO015
CO042,CO026
CO042,CO013
CO042,CO046
CO042,CO057
CO045,CO005
CO045,CO079
CO045,CO035
CO045,CO049
CO045,CO050
CO046,CO026
CO046,CO015
CO046,CO013
CO049,CO079
CO049,CO005
CO049,CO009
CO049,CO045
CO049,CO031
CO050,CO006
CO050,CO019
CO050,CO018
CO050,WA011
CO052,CO001
CO052,CO012
CO052,CO054
CO052,CO055
CO052,NV001
CO054,CO001
CO054,CO007
CO054,CO012
CO054,CO038
CO054,CO052
CO055,CO056
CO055,CO040
CO056,CO055
CO060,CO007
CO060,CO019
CO060,CO014
CO060,CO086
CO060,CO062
CO062,CO006
CO062,CO004
CO062,CO085
CO062,CO019
CO062,CO029
CO064,CO006
CO064,CO085
CO064,CO029
CO064,CO034
CO064,CO062
CO074,CO007
CO074,CO019
CO074,CO086
CO074,CO058
CO074,CO060
CO079,CO005
CO079,CO045
CO079,CO030
CO079,CO049
CO085,CO006
CO085,CO062
CO085,CO029
CO086,CO007
CO086,CO019
CO086,CO074
CO086,CO058
CO086,CO060
CO087,CO024
CO087,CO085
CO087,CO029
CO087,CO074
CO087,CO058
CT006,CT112
CT006,"CT043
"
CT006,CT034
CT006,CT047
CT006,CT116
CT011,CT112
CT011,CT034
CT011,CT130
CT011,CT106
CT011,CT006
CT012,CT005
CT012,CT022
CT012,CT066
CT012,CT068
CT012,CT084
CT021,CT112
CT021,CT057
CT022,CT089
CT022,"CT109
"
CT023,CT030
CT023,CT073
CT023,CT096
CT023,CT098
CT023,CT111
CT028,CT112
CT028,CT052
CT028,CT043
CT028,CT006
CT031,CT033
CT031,CT059
CT031,CT083
CT031,CT059
CT031,CT111
CT032,CT015
CT032,CT075
CT032,CT058
CT032,CT098
CT032,CT110
CT034,CT112
CT034,CT006
CT034,CT052
CT037,CT005
CT037,CT075
CT037,CT047
CT037,CT051
CT037,CT102
CT038,CT023
CT038,CT073
CT038,CT079
CT038,CT096
CT038,CT098
CT045,CT131
CT045,CT075
CT047,CT052
CT047,CT072
CT047,CT102
CT047,CT006
CT050,CT075
CT050,CT030
CT050,CT041
CT052,CT034
CT052,CT047
CT052,CT073
CT052,CT102
CT052,CT006
CT054,CT015
CT054,CT130
CT054,CT098
CT054,CT104
CT058,CT098
CT060,CT073
CT060,CT130
CT060,CT079
CT060,CT098
CT060,CT132
CT064,CT030
CT064,CT043
CT064,CA034
CT064,CT098
CT064,NY057
CT068,CT022
CT068,CT060
CT068,CT066
CT068,CT079
CT068,CT132
CT071,CT052
CT073,CT023
CT073,CT060
CT073,CT062
CT073,CT098
CT073,CT111
CT079,CT030
CT079,CT060
CT079,CT064
CT079,CT068
CT082,CT030
CT082,CT060
CT083,CT005
CT083,CT063
CT083,CT066
CT083,CT068
CT083,CT084
CT096,CT038
CT098,CT009
CT098,CT134
CT098,CT030
CT098,CT033
CT098,CT058
CT102,CT052
CT102,CT047
CT102,CT060
CT102,CT073
CT112,CT006
CT112,CT034
CT112,CT047
CT112,CT060
CT112,CT073
CT130,CT054
CT130,NJ063
CT130,CT060
CT130,CT061
CT130,CT082
CT131,CT015
CT131,CT075
CT131,CT052
CT131,CT051
CT131,CT057
CT132,CT015
CT132,CT060
CT132,CT061
CT132,CT130
CT133,CT134
CT133,CT098
CT134,CT058
CT134,CT059
CT134,CT073
CT134,CT098
DE002,DE003
FL001,FL017
FL001,FL014
FL001,FL053
FL001,FL057
FL001,FL063
FL002,FL017
FL002,FL018
FL002,FL028
FL002,FL045
FL002,FL051
FL003,FL011
FL003,FL013
FL003,FL001
