province,gdp,illiteracy,poverty,deficient_infra,school_dropout,no_healthcare,birth_mortal,pop,movie_theatres_per_cap,doctors_per_cap
Buenos Aires,292689867.987582,1.38324,8.167797642491117,5.511855870301987,0.7661682399030951,48.7947,4.4,15625084,6.01596765815787e-6,0.004835622003696108
Catamarca,6150949.15918587,2.34414,9.234095120444719,10.464484271479067,0.9519630661223317,45.0456,1.5,367828,5.43732396663658e-6,0.004502104244375089
Córdoba,69363739.1881543,2.71414,5.3823802695110885,10.436086306914715,1.03505578423173,45.764,4.8,3308876,1.11820448998391e-5,0.010175358641423856
Corrientes,7968012.98234275,5.60242,12.747190658547304,17.43885829626291,3.8642652247861236,62.1103,5.9,992595,4.029840972400627e-6,0.004495287604712899
Chaco,9832642.67153144,7.51758,15.8626192230504,31.479527286229747,2.577462080238462,65.5104,7.5,1055259,2.8429039695468125e-6,0.0036048022333853586
Chubut,17747854.2076598,1.54806,8.051752203908194,8.044617723785223,0.5863094243811133,39.5473,3,509108,1.5713758180975352e-5,0.004498063279304194
Entre Ríos,20743409.0958049,3.18558,7.2887510989198745,18.79456842314105,1.8871880897462887,48.6571,3.1,1235994,5.663457913226116e-6,0.004678825301740947
Formosa,3807057.41864849,4.61064,17.035583210850106,28.00498454649779,2.2689740979527357,65.8126,16.2,530162,3.7724318227258836e-6,0.003440457822326006
Jujuy,6484938.33369074,2.15139,13.367965139658912,12.483178744127619,0.7212945042084868,54.1615,3.7,673307,2.9704131993280924e-6,0.003958075588104683
La Pampa,6990262.45761227,1.5393,3.3987736963492154,16.505714404691147,0.204093365528351,45.4764,7.2,318951,1.8811666995870838e-5,0.005414624816978157
La Rioja,5590515.62831714,2.77321,10.875151825097488,7.403254315915967,3.8449494497628933,40.8341,11.4,333642,1.1988898280192542e-5,0.005092284544511782
Mendoza,33431369.1065576,2.2002,5.6927984296405345,3.8398518201894993,1.0637178569925538,50.5843,4.4,1738929,8.050932499256727e-6,0.005720187540721904
Misiones,9646825.83451666,6.86395,13.52978758784866,8.32574026219746,3.1291244419450663,57.8339,8.1,1101593,1.815552567962941e-6,0.002880374149073206
Neuquén,22564106.155859,1.94375,9.456634648678456,11.267278103543326,1.3935038131065625,48.7431,3.3,551266,9.070031527429589e-6,0.005066519611222169
Río Negro,10264584.418045,2.03142,8.678390743664504,14.885444447700829,0.40804204382577325,49.9463,0.8,638645,9.394890745249709e-6,0.004897869708523515
Salta,13438834.9101531,3.34609,16.87050001150157,14.182302939953845,1.482029959560279,60.423,5.8,1214441,4.117120551760028e-6,0.003991136662876171
San Juan,8262308.56777371,2.96326,9.050783891007896,3.914390121310095,3.2984129116020853,52.9684,4.2,681055,5.873240780847362e-6,0.0050436455205526715
San Luis,11780849.3628145,3.43365,6.593771006049742,9.67989417989418,2.000172428657649,51.6154,3.8,432310,4.6263098239689115e-6,0.006102102657814994
Santa Cruz,11663738.0449566,0.791485,8.024761832274105,7.411363910048985,0.2892622352081702,29.2321,3.3,273964,1.0950343840796601e-5,0.004270634097910674
Santa Fe,81588690.274935,1.97594,6.081012414486598,11.869195202783935,2.872180712625422,41.966,2.6,3194537,6.573722577011943e-6,0.006671702346850264
Santiago del Estero,8387858.7309371,6.27209,11.759000137631816,20.49143315646261,2.3255980826911156,63.6637,1.7,874006,3.432470715304014e-6,0.0028214909279798994
Tucumán,13856198.9040229,3.7703700000000002,11.214239206984068,6.466665286632995,0.977284733227691,48.2242,3,1448188,4.83362657334545e-6,0.005500667040467122
