year,tag,number,year_total
2008,.htaccess,54,58390
2008,.net,5910,58390
2008,.net-2.0,289,58390
2008,.net-3.5,319,58390
2008,.net-4.0,6,58390
2008,.net-assembly,3,58390
2008,.net-core,1,58390
2008,2d,42,58390
2008,32-bit,19,58390
2008,32bit-64bit,4,58390
2008,3d,73,58390
2008,64bit,149,58390
2008,abap,10,58390
2008,absolute,1,58390
2008,abstract,5,58390
2008,abstract-class,27,58390
2008,abstract-syntax-tree,6,58390
2008,accelerometer,3,58390
2008,access,1,58390
2008,access-control,12,58390
2008,accessibility,26,58390
2008,access-vba,50,58390
2008,access-violation,4,58390
2008,accordion,9,58390
2008,acl,11,58390
2008,acrobat,10,58390
2008,action,10,58390
2008,actionlistener,4,58390
2008,actionmailer,3,58390
2008,actionscript,136,58390
2008,actionscript-2,37,58390
2008,actionscript-3,308,58390
2008,active-directory,141,58390
2008,activemq,27,58390
2008,activerecord,84,58390
2008,activex,80,58390
2008,actor,1,58390
2008,ada,8,58390
2008,adapter,2,58390
2008,add,3,58390
2008,addclass,1,58390
2008,addeventlistener,2,58390
2008,add-in,53,58390
2008,addition,2,58390
2008,adfs,1,58390
2008,admin,10,58390
2008,ado,37,58390
2008,ado.net,165,58390
2008,adobe,34,58390
2008,adodb,9,58390
2008,ads,2,58390
2008,adsense,3,58390
2008,aes,19,58390
2008,aggregate,15,58390
2008,aggregate-functions,8,58390
2008,aggregation,3,58390
2008,agile,121,58390
2008,air,77,58390
2008,aix,17,58390
2008,ajax,599,58390
2008,ajaxcontroltoolkit,20,58390
2008,alert,3,58390
2008,alfresco,5,58390
2008,algorithm,643,58390
2008,alias,18,58390
2008,alignment,22,58390
2008,allocation,9,58390
2008,alpha,8,58390
2008,amazon,11,58390
2008,amazon-ec2,24,58390
2008,amazon-s3,20,58390
2008,amazon-web-services,21,58390
2008,amqp,3,58390
2008,analysis,17,58390
2008,analytics,15,58390
2008,anchor,14,58390
2008,android,38,58390
2008,android-activity,3,58390
2008,android-emulator,1,58390
2008,android-linearlayout,1,58390
2008,android-listview,1,58390
2008,android-mapview,2,58390
2008,android-tabhost,1,58390
2008,angle,3,58390
2008,animated-gif,6,58390
2008,animation,61,58390
2008,annotations,42,58390
2008,anonymous-function,6,58390
2008,ant,113,58390
2008,antlr,16,58390
2008,aop,36,58390
2008,apache,379,58390
2008,apache2,31,58390
2008,apache-camel,5,58390
2008,apache-commons,3,58390
2008,apache-pig,1,58390
2008,apache-poi,7,58390
2008,apache-zookeeper,1,58390
2008,apex-code,2,58390
2008,api,164,58390
2008,api-design,8,58390
2008,app-config,30,58390
2008,appdomain,26,58390
2008,append,5,58390
2008,applescript,28,58390
2008,applet,56,58390
2008,apply,1,58390
2008,app-store,10,58390
2008,aptana,15,58390
2008,arabic,4,58390
2008,arcgis,5,58390
2008,architecture,260,58390
2008,archive,15,58390
2008,arduino,9,58390
2008,arguments,24,58390
2008,arm,23,58390
2008,arraylist,22,58390
2008,arrays,371,58390
2008,artifactory,1,58390
2008,artificial-intelligence,31,58390
2008,ascii,35,58390
2008,asmx,31,58390
2008,asp.net,3789,58390
2008,asp.net-3.5,14,58390
2008,asp.net-ajax,159,58390
2008,asp.net-membership,34,58390
2008,asp.net-mvc,939,58390
2008,asp.net-mvc-routing,18,58390
2008,asp.net-web-api,2,58390
2008,asp-classic,212,58390
2008,aspectj,4,58390
2008,assemblies,99,58390
2008,assembly,87,58390
2008,assert,21,58390
2008,assets,1,58390
2008,associations,14,58390
2008,associative-array,14,58390
2008,asterisk,6,58390
2008,asynchronous,71,58390
2008,at-command,1,58390
2008,atl,17,58390
2008,atomic,19,58390
2008,attachment,16,58390
2008,attributes,72,58390
2008,audio,143,58390
2008,audio-recording,4,58390
2008,audio-streaming,4,58390
2008,augmented-reality,1,58390
2008,authentication,223,58390
2008,authorization,31,58390
2008,authorize.net,2,58390
2008,autocomplete,57,58390
2008,autofac,3,58390
2008,autohotkey,4,58390
2008,auto-increment,9,58390
2008,autoit,1,58390
2008,autolayout,1,58390
2008,autoload,2,58390
2008,automated-tests,72,58390
2008,automation,123,58390
2008,autotools,12,58390
2008,auto-update,13,58390
2008,average,4,58390
2008,avr,4,58390
2008,awk,23,58390
2008,awt,27,58390
2008,axapta,14,58390
2008,axis,19,58390
2008,axis2,11,58390
2008,azure,12,58390
2008,back,3,58390
2008,back-button,12,58390
2008,backend,3,58390
2008,background,20,58390
2008,background-color,2,58390
2008,background-image,5,58390
2008,background-process,4,58390
2008,backgroundworker,13,58390
2008,backup,91,58390
2008,bar-chart,1,58390
2008,barcode,13,58390
2008,base64,26,58390
2008,bash,226,58390
2008,basic-authentication,4,58390
2008,batch-file,166,58390
2008,batch-processing,4,58390
2008,bayesian,3,58390
2008,bcrypt,1,58390
2008,bdd,13,58390
2008,beautifulsoup,8,58390
2008,benchmarking,32,58390
2008,bigdecimal,4,58390
2008,biginteger,13,58390
2008,big-o,23,58390
2008,binary,56,58390
2008,binary-data,7,58390
2008,binaryfiles,14,58390
2008,binary-search,6,58390
2008,binary-search-tree,7,58390
2008,binary-tree,21,58390
2008,bind,10,58390
2008,binding,68,58390
2008,birt,13,58390
2008,bison,5,58390
2008,bit,6,58390
2008,bitbucket,1,58390
2008,bit-manipulation,49,58390
2008,bitmap,25,58390
2008,bit-shift,8,58390
2008,bitwise-operators,5,58390
2008,biztalk,48,58390
2008,blackberry,33,58390
2008,blender,1,58390
2008,blob,24,58390
2008,blocking,2,58390
2008,blogger,4,58390
2008,blogs,32,58390
2008,bluetooth,13,58390
2008,blur,2,58390
2008,bookmarklet,9,58390
2008,boolean,36,58390
2008,boolean-logic,4,58390
2008,boost,97,58390
2008,boost-asio,11,58390
2008,boost-python,2,58390
2008,boost-spirit,4,58390
2008,boot,4,58390
2008,bootstrapping,7,58390
2008,border,9,58390
2008,bots,12,58390
2008,bouncycastle,2,58390
2008,branch,53,58390
2008,branching-and-merging,3,58390
2008,breadth-first-search,3,58390
2008,break,4,58390
2008,breakpoints,21,58390
2008,broadcast,3,58390
2008,browser,247,58390
2008,browser-cache,2,58390
2008,browser-history,5,58390
2008,bubble-sort,1,58390
2008,buffer,23,58390
2008,bufferedimage,2,58390
2008,build,82,58390
2008,build-automation,123,58390
2008,builder,5,58390
2008,build-process,155,58390
2008,bulkinsert,10,58390
2008,bundle,4,58390
2008,business-intelligence,17,58390
2008,button,43,58390
2008,byte,11,58390
2008,bytearray,13,58390
2008,bytecode,13,58390
2008,c,1161,58390
2008,c#,7473,58390
2008,c#-2.0,43,58390
2008,c#-3.0,70,58390
2008,c#-4.0,16,58390
2008,c++,3111,58390
2008,c++11,18,58390
2008,c++17,1,58390
2008,c++builder,28,58390
2008,c++-cli,43,58390
2008,c99,3,58390
2008,cabal,1,58390
2008,caching,262,58390
2008,cakephp,47,58390
2008,calculated-columns,5,58390
2008,calculator,5,58390
2008,calendar,57,58390
2008,call,6,58390
2008,callback,38,58390
2008,camera,13,58390
2008,canvas,25,58390
2008,capistrano,23,58390
2008,captcha,15,58390
2008,capture,11,58390
2008,cart,3,58390
2008,cas,11,58390
2008,cascade,13,58390
2008,case,7,58390
2008,casting,98,58390
2008,castle-windsor,57,58390
2008,category,1,58390
2008,cdn,5,58390
2008,cell,2,58390
2008,center,9,58390
2008,centering,3,58390
2008,centos,7,58390
2008,certificate,51,58390
2008,cgi,53,58390
2008,char,22,58390
2008,character,22,58390
2008,character-encoding,61,58390
2008,charts,60,58390
2008,chat,9,58390
2008,chatbot,2,58390
2008,checkbox,28,58390
2008,checkout,1,58390
2008,checksum,13,58390
2008,cherrypy,17,58390
2008,children,5,58390
2008,chmod,3,58390
2008,cin,4,58390
2008,clang,1,58390
2008,class,156,58390
2008,classcastexception,3,58390
2008,classification,2,58390
2008,classloader,15,58390
2008,classpath,37,58390
2008,clearcase,23,58390
2008,click,13,58390
2008,clickonce,48,58390
2008,client,30,58390
2008,client-server,27,58390
2008,client-side,16,58390
2008,clipboard,30,58390
2008,clock,5,58390
2008,clojure,24,58390
2008,clone,25,58390
2008,closures,45,58390
2008,cloud,25,58390
2008,clr,80,58390
2008,cluster-analysis,7,58390
2008,cluster-computing,29,58390
2008,cmake,4,58390
2008,cmd,60,58390
2008,cobol,11,58390
2008,cocoa,327,58390
2008,cocoa-touch,380,58390
2008,cocos2d-iphone,5,58390
2008,code-analysis,45,58390
2008,code-behind,14,58390
2008,codeblocks,5,58390
2008,codec,12,58390
2008,code-coverage,52,58390
2008,code-formatting,21,58390
2008,code-generation,88,58390
2008,codeigniter,43,58390
2008,code-injection,12,58390
2008,code-review,63,58390
2008,code-signing,17,58390
2008,code-snippets,32,58390
2008,coding-style,259,58390
2008,coldfusion,83,58390
2008,collation,16,58390
2008,collections,176,58390
2008,collision-detection,10,58390
2008,colors,91,58390
2008,com,226,58390
2008,combinations,3,58390
2008,combinatorics,5,58390
2008,combobox,59,58390
2008,comet,15,58390
2008,com-interop,30,58390
2008,command,31,58390
2008,command-line,247,58390
2008,command-line-arguments,7,58390
2008,command-line-interface,28,58390
2008,command-prompt,6,58390
2008,comments,60,58390
2008,commit,14,58390
2008,common-lisp,42,58390
2008,common-table-expression,7,58390
2008,communication,40,58390
2008,compact-framework,132,58390
2008,compare,30,58390
2008,comparison,91,58390
2008,compatibility,36,58390
2008,compilation,56,58390
2008,compiler-construction,182,58390
2008,compiler-errors,15,58390
2008,compiler-optimization,1,58390
2008,compiler-warnings,7,58390
2008,complexity-theory,32,58390
2008,components,61,58390
2008,composition,8,58390
2008,compression,85,58390
2008,computational-geometry,5,58390
2008,computer-science,52,58390
2008,computer-vision,9,58390
2008,concat,3,58390
2008,concatenation,24,58390
2008,concurrency,134,58390
2008,condition,3,58390
2008,conditional,22,58390
2008,conditional-formatting,2,58390
2008,conditional-statements,1,58390
2008,config,13,58390
2008,configuration,235,58390
2008,configuration-files,39,58390
2008,configure,5,58390
2008,conflict,10,58390
2008,connect,2,58390
2008,connection,43,58390
2008,connection-pooling,18,58390
2008,connection-string,34,58390
2008,console,95,58390
2008,console-application,15,58390
2008,const,33,58390
2008,constants,31,58390
2008,constraints,40,58390
2008,constructor,81,58390
2008,contact-form-7,1,58390
2008,contacts,1,58390
2008,containers,22,58390
2008,contains,3,58390
2008,contenteditable,2,58390
2008,content-management-system,58,58390
2008,content-type,20,58390
2008,contextmenu,23,58390
2008,continuous-integration,110,58390
2008,contour,2,58390
2008,controller,21,58390
2008,controls,188,58390
2008,converter,18,58390
2008,convolution,1,58390
2008,cookies,111,58390
2008,coordinates,1,58390
2008,copy,42,58390
2008,copy-constructor,3,58390
2008,copy-paste,16,58390
2008,core,5,58390
2008,core-animation,26,58390
2008,core-audio,10,58390
2008,core-data,12,58390
2008,core-graphics,6,58390
2008,couchdb,15,58390
2008,count,18,58390
2008,counter,2,58390
2008,cout,2,58390
2008,covariance,12,58390
2008,cpan,22,58390
2008,cpanel,2,58390
2008,c-preprocessor,54,58390
2008,cpu,34,58390
2008,cpu-architecture,6,58390
2008,cpu-registers,5,58390
2008,cpu-usage,7,58390
2008,cql,3,58390
2008,crash,44,58390
2008,crash-reports,3,58390
2008,create-table,1,58390
2008,credentials,14,58390
2008,credit-card,11,58390
2008,criteria,12,58390
2008,crm,10,58390
2008,cron,39,58390
