JURISDICTION,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,"OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Allegany County,01/01/1975 12:00:00 AM,79655,3,5,20,114,669,1425,93,2329,,142,6.1,,2187,93.9,,2923.9,,178.3,,2745.6,,3.8,6.3,25.1,143.1,839.9,1789,116.8,,,,,,,
Allegany County,01/01/1976 12:00:00 AM,83923,2,2,24,59,581,1384,73,2125,-8.8,87,4.1,-38.7,2038,95.9,-6.8,2532.1,-13.4,103.7,-41.8,2428.4,-11.6,2.4,2.4,28.6,70.3,692.3,1649.1,87,-36.7,-62,13.9,-50.9,-17.6,-7.8,-25.5
Allegany County,01/01/1977 12:00:00 AM,82102,3,7,32,85,592,1390,102,2211,4,127,5.7,46,2084,94.3,2.3,2693,6.4,154.7,49.2,2538.3,4.5,3.7,8.5,39,103.5,721.1,1693,124.2,53.3,257.8,36.3,47.3,4.2,2.7,42.8
Allegany County,01/01/1978 12:00:00 AM,79966,1,2,18,81,539,1390,100,2131,-3.6,102,4.8,-19.7,2029,95.2,-2.6,2664.9,-1,127.6,-17.5,2537.3,0,1.3,2.5,22.5,101.3,674,1738.2,125.1,-65.8,-70.7,-42.2,-2.2,-6.5,2.7,0.7
Allegany County,01/01/1979 12:00:00 AM,79721,1,7,18,84,502,1611,99,2322,9,110,4.7,7.8,2212,95.3,9,2912.7,9.3,138,8.2,2774.7,9.4,1.3,8.8,22.6,105.4,629.7,2020.8,124.2,0.3,251.1,0.3,4,-6.6,16.3,-0.7
Allegany County,01/01/1980 12:00:00 AM,80461,2,12,26,79,541,1706,108,2474,6.5,119,4.8,8.2,2355,95.2,6.5,3074.8,5.6,147.9,7.2,2926.9,5.5,2.5,14.9,32.3,98.2,672.4,2120.3,134.2,98.2,69.9,43.1,-6.8,6.8,4.9,8.1
Allegany County,01/01/1981 12:00:00 AM,81781,11,13,24,101,539,1697,88,2473,0,149,6,25.2,2324,94,-1.3,3023.9,-1.7,182.2,23.2,2841.7,-2.9,13.5,15.9,29.3,123.5,659.1,2075.1,107.6,441.1,6.6,-9.2,25.8,-2,-2.1,-19.8
Allegany County,01/01/1982 12:00:00 AM,81858,1,18,18,80,447,1570,55,2189,-11.5,117,5.3,-21.5,2072,94.7,-10.8,2674.1,-11.6,142.9,-21.6,2531.2,-10.9,1.2,22,22,97.7,546.1,1918,67.2,-90.9,38.3,-25.1,-20.9,-17.1,-7.6,-37.6
Allegany County,01/01/1983 12:00:00 AM,82605,5,9,19,89,347,1412,67,1948,-11,122,6.3,4.3,1826,93.7,-11.9,2358.2,-11.8,147.7,3.3,2210.5,-12.7,6.1,10.9,23,107.7,420.1,1709.3,81.1,395.5,-50.5,4.6,10.2,-23.1,-10.9,20.7
Allegany County,01/01/1984 12:00:00 AM,80835,2,15,6,67,361,1338,68,1857,-4.7,90,4.8,-26.2,1767,95.2,-3.2,2297.3,-2.6,111.3,-24.6,2185.9,-1.1,2.5,18.6,7.4,82.9,446.6,1655.2,84.1,-59.1,70.3,-67.7,-23.1,6.3,-3.2,3.7
Allegany County,01/01/1985 12:00:00 AM,77655,0,7,12,70,396,1249,61,1795,-3.3,89,5,-1.1,1706,95,-3.5,2311.5,0.6,114.6,2.9,2196.9,0.5,0,9,15.5,90.1,509.9,1608.4,78.6,-100,-51.4,108.2,8.8,14.2,-2.8,-6.6
Allegany County,01/01/1986 12:00:00 AM,78947,1,11,12,97,432,1393,60,2006,11.8,121,6,36,1885,94,10.5,2540.9,9.9,153.3,33.7,2387.7,8.7,1.3,13.9,15.2,122.9,547.2,1764.5,76,126.7,54.6,-1.6,36.3,7.3,9.7,-3.2
Allegany County,01/01/1987 12:00:00 AM,75697,2,9,22,120,409,1390,59,2011,0.2,153,7.6,26.4,1858,92.4,-1.4,2656.6,4.6,202.1,31.9,2454.5,2.8,2.6,11.9,29.1,158.5,540.3,1836.3,77.9,108.6,-14.7,91.2,29,-1.3,4.1,2.6
Allegany County,01/01/1988 12:00:00 AM,76500,4,19,16,124,448,1439,81,2131,6,163,7.6,6.5,1968,92.4,5.9,2785.6,4.9,213.1,5.4,2572.5,4.8,5.2,24.8,20.9,162.1,585.6,1881,105.9,97.9,108.9,-28,2.2,8.4,2.4,35.8
Allegany County,01/01/1989 12:00:00 AM,76375,2,20,16,153,514,1505,70,2280,7,191,8.4,17.2,2089,91.6,6.1,2985.3,7.2,250.1,17.4,2735.2,6.3,2.6,26.2,20.9,200.3,673,1970.5,91.7,-49.9,5.4,0.2,23.6,14.9,4.8,-13.4
Allegany County,01/01/1990 12:00:00 AM,74946,0,17,15,206,464,1620,66,2388,4.7,238,10,24.6,2150,90,2.9,3186.3,6.7,317.6,27,2868.7,4.9,0,22.7,20,274.9,619.1,2161.6,88.1,-100,-13.4,-4.5,37.2,-8,9.7,-3.9
Allegany County,01/01/1991 12:00:00 AM,76175,1,20,15,282,511,1580,60,2469,3.4,318,12.9,33.6,2151,87.1,0,3241.2,1.7,417.5,31.5,2823.8,-1.6,1.3,26.3,19.7,370.2,670.8,2074.2,78.8,131.3,15.7,-1.6,34.7,8.4,-4,-10.6
Allegany County,01/01/1992 12:00:00 AM,76925,1,12,16,333,483,1749,97,2691,9,362,13.5,13.8,2329,86.5,8.3,3498.2,7.9,470.6,12.7,3027.6,7.2,1.3,15.6,20.8,432.9,627.9,2273.6,126.1,-1,-40.6,5.6,16.9,-6.4,9.6,60.1
Allegany County,01/01/1993 12:00:00 AM,75274,1,15,21,343,384,1591,102,2457,-8.7,380,15.5,5,2077,84.5,-10.8,3264.1,-6.7,504.8,7.3,2759.3,-8.9,1.3,19.9,27.9,455.7,510.1,2113.6,135.5,2.2,27.7,34.1,5.3,-18.8,-7,7.5
Allegany County,01/01/1994 12:00:00 AM,75891,2,13,18,302,386,1638,75,2434,-0.9,335,13.8,-11.8,2099,86.2,1.1,3207.2,-1.7,441.4,-12.6,2765.8,0.2,2.6,17.1,23.7,397.9,508.6,2158.4,98.8,98.4,-14,-15,-12.7,-0.3,2.1,-27.1
Allegany County,01/01/1995 12:00:00 AM,74394,1,16,18,372,387,1487,71,2352,-3.4,407,17.3,21.5,1945,82.7,-7.3,3161.5,-1.4,547.1,23.9,2614.5,-5.5,1.3,21.5,24.2,500,520.2,1998.8,95.4,-49,25.6,2,25.7,2.3,-7.4,-3.4
Allegany County,01/01/1996 12:00:00 AM,74833,2,15,13,299,450,1681,81,2541,8,329,12.9,-19.2,2212,87.1,13.7,3395.6,7.4,439.6,-19.6,2955.9,13.1,2.7,20,17.4,399.6,601.3,2246.3,108.2,98.8,-6.8,-28.2,-20.1,15.6,12.4,13.4
Allegany County,01/01/1997 12:00:00 AM,75155,1,15,8,340,441,1739,69,2613,2.8,364,13.9,10.6,2249,86.1,1.7,3476.8,2.4,484.3,10.2,2992.5,1.2,1.3,20,10.6,452.4,586.8,2313.9,91.8,-50.2,-0.4,-38.7,13.2,-2.4,3,-15.2
Allegany County,01/01/1998 12:00:00 AM,72871,2,18,16,249,446,1750,95,2576,-1.4,285,11.1,-21.7,2291,88.9,1.9,3535,1.7,391.1,-19.2,3143.9,5.1,2.7,24.7,22,341.7,612,2401.5,130.4,106.3,23.8,106.3,-24.5,4.3,3.8,42
Allegany County,01/01/1999 12:00:00 AM,71845,0,19,20,244,394,1624,78,2379,-7.6,283,11.9,-0.7,2096,88.1,-8.5,3311.3,-6.3,393.9,0.7,2917.4,-7.2,0,26.4,27.8,339.6,548.4,2260.4,108.6,-100,7.1,26.8,-0.6,-10.4,-5.9,-16.7
Allegany County,01/01/2000 12:00:00 AM,74930,2,24,21,224,421,1562,124,2378,0,271,11.4,-4.2,2107,88.6,0.5,3173.6,-4.2,361.7,-8.2,2812,-3.6,2.7,32,28,298.9,561.9,2084.6,165.5,266.9,21.1,0.7,-12,2.5,-7.8,52.4
Allegany County,01/01/2001 12:00:00 AM,76043,1,22,29,268,426,1805,119,2670,12.3,320,12,18.1,2350,88,11.5,3511.2,10.6,420.8,16.4,3090.4,9.9,1.3,28.9,38.1,352.4,560.2,2373.7,156.5,-50.7,-9.7,36.1,17.9,-0.3,13.9,-5.4
Allegany County,01/01/2002 12:00:00 AM,77216,0,26,22,187,487,1557,89,2368,-11.3,235,9.9,-26.6,2133,90.1,-9.2,3066.7,-12.7,304.3,-27.7,2762.4,-10.6,0,33.7,28.5,242.2,630.7,2016.4,115.3,-100,16.4,-25.3,-31.3,12.6,-15.1,-26.3
Allegany County,01/01/2003 12:00:00 AM,74893,1,22,31,208,555,1631,93,2541,7.3,262,10.3,11.5,2279,89.7,6.8,3392.8,10.6,349.8,14.9,3043,10.2,1.3,29.4,41.4,277.7,741.1,2177.8,124.2,133.5,-12.8,45.3,14.7,17.5,8,7.7
Allegany County,01/01/2004 12:00:00 AM,74325,0,23,27,275,488,1481,55,2349,-7.6,325,13.8,24,2024,86.2,-11.2,3160.4,-6.8,437.3,25,2723.2,-10.5,0,30.9,36.3,370,656.6,1992.6,74,-100,5.3,-12.2,33.2,-11.4,-8.5,-40.4
Allegany County,01/01/2005 12:00:00 AM,74434,1,30,15,214,460,1531,57,2308,-1.7,260,11.3,-20,2048,88.7,1.2,3100.7,-1.9,349.3,-20.1,2751.4,1,1.3,40.3,20.2,287.5,618,2056.9,76.6,134.3,30.2,-44.5,-22.3,-5.9,3.2,3.5
