pokedex_number,name,attack,defense,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type,weight_kg,generation,is_legendary
1,Bulbasaur,49,49,0.7,45,88.1,65,65,45,grass,6.9,1,0
2,Ivysaur,62,63,1,60,88.1,80,80,60,grass,13,1,0
3,Venusaur,100,123,2,80,88.1,122,120,80,grass,100,1,0
4,Charmander,52,43,0.6,39,88.1,60,50,65,fire,8.5,1,0
5,Charmeleon,64,58,1.1,58,88.1,80,65,80,fire,19,1,0
6,Charizard,104,78,1.7,78,88.1,159,115,100,fire,90.5,1,0
7,Squirtle,48,65,0.5,44,88.1,50,64,43,water,9,1,0
8,Wartortle,63,80,1,59,88.1,65,80,58,water,22.5,1,0
9,Blastoise,103,120,1.6,79,88.1,135,115,78,water,85.5,1,0
10,Caterpie,30,35,0.3,45,50,20,20,45,bug,2.9,1,0
11,Metapod,20,55,0.7,50,50,25,25,30,bug,9.9,1,0
12,Butterfree,45,50,1.1,60,50,90,80,70,bug,32,1,0
13,Weedle,35,30,0.3,40,50,20,20,50,bug,3.2,1,0
14,Kakuna,25,50,0.6,45,50,25,25,35,bug,10,1,0
15,Beedrill,150,40,1,65,50,15,80,145,bug,29.5,1,0
16,Pidgey,45,40,0.3,40,50,35,35,56,normal,1.8,1,0
17,Pidgeotto,60,55,1.1,63,50,50,50,71,normal,30,1,0
18,Pidgeot,80,80,1.5,83,50,135,80,121,normal,39.5,1,0
19,Rattata,56,35,,30,50,25,35,72,normal,,1,0
20,Raticate,71,70,,75,50,40,80,77,normal,,1,0
21,Spearow,60,30,0.3,40,50,31,31,70,normal,2,1,0
22,Fearow,90,65,1.2,65,50,61,61,100,normal,38,1,0
23,Ekans,60,44,2,35,50,40,54,55,poison,6.9,1,0
24,Arbok,95,69,3.5,60,50,65,79,80,poison,65,1,0
25,Pikachu,55,40,0.4,35,50,50,50,90,electric,6,1,0
26,Raichu,85,50,,60,50,95,85,110,electric,,1,0
27,Sandshrew,75,90,,50,50,10,35,40,ground,,1,0
28,Sandslash,100,120,,75,50,25,65,65,ground,,1,0
29,Nidoran♀,47,52,0.4,55,0,40,40,41,poison,7,1,0
30,Nidorina,62,67,0.8,70,0,55,55,56,poison,20,1,0
31,Nidoqueen,92,87,1.3,90,0,75,85,76,poison,60,1,0
32,Nidoran♂,57,40,0.5,46,100,40,40,50,poison,9,1,0
33,Nidorino,72,57,0.9,61,100,55,55,65,poison,19.5,1,0
34,Nidoking,102,77,1.4,81,100,85,75,85,poison,62,1,0
35,Clefairy,45,48,0.6,70,24.6,60,65,35,fairy,7.5,1,0
36,Clefable,70,73,1.3,95,24.6,95,90,60,fairy,40,1,0
37,Vulpix,41,40,,38,24.6,50,65,65,fire,,1,0
38,Ninetales,67,75,,73,24.6,81,100,109,fire,,1,0
39,Jigglypuff,45,20,0.5,115,24.6,45,25,20,normal,5.5,1,0
40,Wigglytuff,70,45,1,140,24.6,85,50,45,normal,12,1,0
41,Zubat,45,35,0.8,40,50,30,40,55,poison,7.5,1,0
42,Golbat,80,70,1.6,75,50,65,75,90,poison,55,1,0
43,Oddish,50,55,0.5,45,50,75,65,30,grass,5.4,1,0
44,Gloom,65,70,0.8,60,50,85,75,40,grass,8.6,1,0
45,Vileplume,80,85,1.2,75,50,110,90,50,grass,18.6,1,0
46,Paras,70,55,0.3,35,50,45,55,25,bug,5.4,1,0
47,Parasect,95,80,1,60,50,60,80,30,bug,29.5,1,0
48,Venonat,55,50,1,60,50,40,55,45,bug,30,1,0
49,Venomoth,65,60,1.5,70,50,90,75,90,bug,12.5,1,0
