year,chord,root_integer,root_roman,quality,title_compressed,artist_compressed,title,artist
1961,A:min,9,VI,min,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,C:maj,0,I,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,A:min,9,VI,min,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,C:maj,0,I,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,A:min,9,VI,min,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,C:maj,0,I,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,A:min,9,VI,min,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,C:maj,0,I,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,A:min,9,VI,min,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,C:maj,0,I,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,F:maj,5,IV,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,D:maj,2,II,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,G:maj,7,V,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,C:maj,0,I,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1961,A:maj,9,VI,maj,idon'tmind,jamesbrown,I Don't Mind,James Brown
1980,C:5,0,I,5,therose,bettemidler,The Rose,Bette Midler
1980,C:maj,0,I,maj,therose,bettemidler,The Rose,Bette Midler
1980,G:maj/3,7,V,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,F:maj/3,5,IV,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,G:maj/3,7,V,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,C:maj,0,I,maj,therose,bettemidler,The Rose,Bette Midler
1980,G:maj/3,7,V,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,F:maj/3,5,IV,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,G:maj/3,7,V,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,C:maj,0,I,maj,therose,bettemidler,The Rose,Bette Midler
1980,C:maj/7,0,I,maj/7,therose,bettemidler,The Rose,Bette Midler
1980,F:sus2/3,5,IV,sus2/3,therose,bettemidler,The Rose,Bette Midler
1980,F:maj/3,5,IV,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,F:maj/9,5,IV,maj/9,therose,bettemidler,The Rose,Bette Midler
1980,G:7,7,V,7,therose,bettemidler,The Rose,Bette Midler
1980,C:maj,0,I,maj,therose,bettemidler,The Rose,Bette Midler
1980,G:maj/3,7,V,maj/3,therose,bettemidler,The Rose,Bette Midler
1980,F:maj/3,5,IV,maj/3,therose,bettemidler,The Rose,Bette Midler
1984,C:maj,0,I,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,D:min,2,II,min,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,F:maj,5,IV,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,G:maj,7,V,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,C:maj,0,I,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,D:min,2,II,min,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,F:maj,5,IV,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,G:maj,7,V,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,C:maj,0,I,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,G:min7,7,V,min7,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,C:maj/5,0,I,maj/5,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,Bb:maj/5,10,bVII,maj/5,aninnocentman,billyjoel,An Innocent Man,Billy Joel
